,energy_per_atom,O_concentration,C-O-H_C-sp1-H:mean_value,ether_concentration,H-O_coordination_number,O_n12_m2,prox_Ixx_ether_area,norm_density_ether_std,sp2-like_n11_m3,max_bond_angle
214,-44.317673837209306,0.1162791,106.88,0.12195122,0.42,0.012,4.217895879,0.03269995,0.009,125.18
215,-44.3364125,0.1162791,107.15,0.12195122,0.42,0.026,2.738397131,0.036784538,0.012,123.9
216,-44.37665513196481,0.1143695,107.19,0.135802469,0.4,0.065,4.440603028,0.047009744,0.023,129.44
217,-44.33415930232558,0.1162791,107.05,0.12195122,0.42,0.055,3.187277883,0.043226802,0.012,132.6
218,-44.313435755813956,0.1162791,106.95,0.12195122,0.42,0.044,3.031638063,0.041388007,0.009,123.47
219,-44.3281,0.1162791,107.3,0.12195122,0.42,0.047,2.328476566,0.043854695,0.009,125.2
220,-44.32568313953488,0.1162791,107.36,0.12195122,0.42,0.038,4.845162987,0.040331006,0.0,124.2
221,-44.3316738372093,0.1162791,107.11,0.12195122,0.42,0.029,2.925793737,0.04036148,0.0,124.54
222,-44.321880232558144,0.1162791,106.78,0.12195122,0.42,0.023,3.010295995,0.039989028,0.0,133.33
223,-44.32851511627907,0.1162791,107.25,0.12195122,0.42,0.067,1.081750048,0.048120324,0.017,124.07
224,-44.32660232558139,0.1162791,107.42,0.12195122,0.42,0.052,3.802989922,0.044128385,0.009,125.14
225,-44.32192790697675,0.1162791,107.02,0.12195122,0.42,0.003,4.419511301,0.030938134,0.0,123.99
226,-44.31304912790697,0.1162791,107.24,0.12195122,0.42,0.044,4.891889501,0.043173089,0.0,125.0
227,-44.336668604651166,0.1162791,107.53,0.12195122,0.42,0.035,2.185379722,0.038743325,0.023,123.91
228,-44.3161625,0.1162791,107.08,0.12195122,0.42,0.02,5.618129519,0.034938247,0.009,124.97
229,-44.3148613372093,0.1162791,107.2,0.12195122,0.42,0.035,2.654766892,0.038791123,0.003,126.96
230,-44.333328488372096,0.1162791,107.25,0.12195122,0.42,0.038,3.548142572,0.048330012,0.0,133.17
231,-44.312834302325584,0.1162791,107.2,0.12195122,0.42,0.015,4.684154477,0.035948683,0.0,125.38
232,-44.326835465116275,0.1162791,107.37,0.12195122,0.42,0.023,4.401602077,0.037745701,0.0,126.41
233,-44.327793023255815,0.1162791,107.51,0.12195122,0.42,0.041,3.198611919,0.039610049,0.0,126.84
234,-44.31828139534883,0.1162791,107.13,0.12195122,0.42,0.032,5.143746147,0.043926561,0.0,129.96
235,-44.31183081395349,0.1162791,107.32,0.12195122,0.42,0.02,7.616315858,0.038288595,0.0,124.59
236,-44.315032558139535,0.1162791,107.36,0.12195122,0.42,0.044,3.102491093,0.043140773,0.0,131.51
237,-44.37567272727273,0.1143695,107.26,0.135802469,0.4,0.07,3.001820834,0.04866759,0.0,132.87
238,-44.332807558139535,0.1162791,107.15,0.12195122,0.42,0.035,1.369199387,0.042862259,0.009,125.63
239,-44.32875523255814,0.1162791,107.43,0.12195122,0.42,0.012,2.213415391,0.035144139,0.0,131.63
240,-44.324052906976746,0.1162791,107.02,0.12195122,0.42,0.017,2.128333193,0.034811478,0.006,125.67
241,-44.317712790697676,0.1162791,106.78,0.12195122,0.42,0.038,5.149794978,0.041034628,0.003,123.69
242,-44.31132296511628,0.1162791,107.2,0.12195122,0.42,0.041,5.665889843,0.040455227,0.015,123.92
